Production Lot,Parts Code,Line No,Stock Address,Parts Name,With Slit,Length (mm),Quantity,Required Kanban
3,02KXW,GC7Y_7116,L6-09,VO10X0.5(B)-FALP,With Slit,450,100,3
3,02KXV,GC7Y_7116,K4-21,VO8X0.5(B)-FALP,With Slit,450,100,3
3,02KXW,GC7Y_7116,L5-29,VO10X0.5(B)-FALP,With Slit,120,100,3
3,02KXU,GC7Y_7116,J3-32,VO6X0.5(B)-FALP,With Slit,120,100,3
3,02KXV,GC7Y_7116,J1-20,VO8X0.5(B)-FALP,,40,100,3
3,02KXU,GC7Y_7116,J3-32,VO6X0.5(B)-FALP,With Slit,120,100,3
3,02KXV,GC7Y_7116,K1-03,VO8X0.5(B)-FALP,,110,100,3
3,02KXU,GC7Y_7116,J2-16,VO6X0.5(B)-FALP,With Slit,265,100,3
3,02KXU,GC7Y_7116,J4-27,VO6X0.5(B)-FALP,,245,100,3
3,02KXU,GC7Y_7116,J5-26,VO6X0.5(B)-FALP,,120,100,3
3,02KXU,GC7Y_7116,J2-35,VO6X0.5(B)-FALP,With Slit,425,100,3
3,02KXU,GC7Y_7116,J3-30,VO6X0.5(B)-FALP,With Slit,105,100,3
3,02KXU,GC7Y_7116,J3-31,VO6X0.5(B)-FALP,With Slit,115,100,3
3,02KXW,GC7Y_7116,L5-29,VO10X0.5(B)-FALP,With Slit,120,100,3
3,02KXY,GC7Y_7116,M4-21,VO14X0.5(B)-FALP,With Slit,450,100,3
3,02KYC,GC7Y_7108,Special Kanban,VO22X1(B)-FALP,With Slit,260,50,3
3,02KYA,GC7Y_7108,N5-11,VO18X1(B)-FALP,With Slit,260,50,3
3,02KXV,GC7Y_7108,K1-17,VO8X0.5(B)-FALP,,175,100,3
3,02KXU,GC7Y_7108,J3-17,VO6X0.5(B)-FALP,With Slit,40,100,3
3,02KXU,GC7Y_7108,J3-17,VO6X0.5(B)-FALP,With Slit,40,100,3
3,02KXU,GC7Y_7108,J3-17,VO6X0.5(B)-FALP,With Slit,40,100,3
3,02KXU,GC7Y_7108,J3-17,VO6X0.5(B)-FALP,With Slit,40,100,3
3,02KYB,GC7Y_7108,N4-23,VO20X1(B)-FALP,With Slit,260,50,3
3,02KXU,GC7Y_7108,J3-29,VO6X0.5(B)-FALP,With Slit,100,100,3
3,02KXX,GC7Y_7108,L1-21,VO12X0.5(B)-FALP,With Slit,390,100,3
3,02KY0,GC7Y_7108,M2-25,VO16X0.6(B)-FALP,With Slit,75,100,3
3,02KXY,GC7Y_7108,M4-18,VO14X0.5(B)-FALP,With Slit,80,100,3
3,02KXU,GC7Y_7108,J5-04,VO6X0.5(B)-FALP,,50,100,3
3,02KY0,GC7Y_7108,M2-04,VO16X0.6(B)-FALP,With Slit,360,100,3
3,02KXX,GC7Y_7108,L1-23,VO12X0.5(B)-FALP,With Slit,495,100,3
3,02KXW,GC7Y_7108,L6-10,VO10X0.5(B)-FALP,With Slit,495,100,3
3,02KXW,GC7Y_7108,L4-27,VO10X0.5(B)-FALP,With Slit,150,100,3
3,02KXY,GC7Y_7108,M4-20,VO14X0.5(B)-FALP,With Slit,310,100,3
