Serial No,Kanban Read,Parts Code,Line No,Stock Address,Parts Name,Comment,Length(mm),Quantity,Production Location
SN-49a5d07495561d7,TC-VO18X0.6(B)_85_7101_100_07495_G2-17_1_200907100528,7495,7101,G2-17,VO18X0.6(B),WITH SLIT,85,100,
SN-f0f2b074956190b,TC-VO18X0.6(B)_85_7101_100_07495_G2-17_2_200907100528,7495,7101,G2-17,VO18X0.6(B),WITH SLIT,85,100,
SN-168f5074956969d,TC-VO18X0.6(B)_180_7101_100_07495_G2-19_1_200907100528,7495,7101,G2-19,VO18X0.6(B),WITH SLIT,180,100,
SN-7441807495838ba,TC-VO18X0.6(B)_180_7101_100_07495_G2-19_2_200907100528,7495,7101,G2-19,VO18X0.6(B),WITH SLIT,180,100,
SN-ae8770749565372,TC-VO18X0.6(B)_205_7101_50_07495_G2-20_1_200907100528,7495,7101,G2-20,VO18X0.6(B),WITH SLIT,205,50,
SN-ac6050749557b25,TC-VO18X0.6(B)_205_7101_50_07495_G2-20_2_200907100529,7495,7101,G2-20,VO18X0.6(B),WITH SLIT,205,50,
SN-533830749562ed8,TC-VO18X0.6(B)_230_7101_50_07495_G2-21_1_200907100529,7495,7101,G2-21,VO18X0.6(B),WITH SLIT,230,50,
SN-e2727074952656c,TC-VO18X0.6(B)_230_7101_50_07495_G2-21_2_200907100529,7495,7101,G2-21,VO18X0.6(B),WITH SLIT,230,50,
SN-6051a07495a68fb,TC-VO18X0.6(B)_250_7101_50_07495_G2-22_1_200907100529,7495,7101,G2-22,VO18X0.6(B),WITH SLIT,250,50,
SN-12ea207495ade58,TC-VO18X0.6(B)_250_7101_50_07495_G2-22_2_200907100529,7495,7101,G2-22,VO18X0.6(B),WITH SLIT,250,50,
SN-7a77907495bc7f1,TC-VO18X0.6(B)_295_7101_50_07495_G2-24_1_200907100529,7495,7101,G2-24,VO18X0.6(B),WITH SLIT,295,50,
SN-2e237074957d85f,TC-VO18X0.6(B)_295_7101_50_07495_G2-24_2_200907100529,7495,7101,G2-24,VO18X0.6(B),WITH SLIT,295,50,
